# x1 x2 x3
# 224 3
# 224 3
 0.00000000e+00  0.00000000e+00  4.00000000e-01
 6.12323400e-17  1.00000000e+00  3.00000002e-01
-1.00000000e+00  1.22464680e-16  3.00000000e-01
-1.83697020e-16 -1.00000000e+00  3.00000000e-01
 6.12323400e-18  1.00000000e-01  3.98888889e-01
 1.22464680e-17  2.00000000e-01  3.96000000e-01
 1.83697020e-17  3.00000000e-01  3.90888889e-01
 2.44929360e-17  4.00000000e-01  3.84000000e-01
 3.06161700e-17  5.00000000e-01  3.74888890e-01
 3.67394040e-17  6.00000000e-01  3.64000001e-01
 4.28626380e-17  7.00000000e-01  3.50888890e-01
 4.89858720e-17  8.00000000e-01  3.36000001e-01
 5.51091060e-17  9.00000000e-01  3.18888891e-01
-9.80171403e-02  9.95184727e-01  2.99859501e-01
-1.95090322e-01  9.80785280e-01  2.99878504e-01
-2.90284677e-01  9.56940336e-01  2.99796679e-01
-3.82683432e-01  9.23879533e-01  2.99860456e-01
-4.71396737e-01  8.81921264e-01  2.99892278e-01
-5.55570233e-01  8.31469612e-01  2.99790440e-01
-6.34393284e-01  7.73010453e-01  2.99781916e-01
-7.07106781e-01  7.07106781e-01  2.99787880e-01
-7.73010453e-01  6.34393284e-01  2.99781915e-01
-8.31469612e-01  5.55570233e-01  2.99790439e-01
-8.81921264e-01  4.71396737e-01  2.99892277e-01
-9.23879533e-01  3.82683432e-01  2.99860455e-01
-9.56940336e-01  2.90284677e-01  2.99796677e-01
-9.80785280e-01  1.95090322e-01  2.99878502e-01
-9.95184727e-01  9.80171403e-02  2.99859499e-01
-9.00000000e-01  1.10218212e-16  3.18888889e-01
-8.00000000e-01  9.79717439e-17  3.36000000e-01
-7.00000000e-01  8.57252759e-17  3.50888889e-01
-6.00000000e-01  7.34788079e-17  3.64000000e-01
-5.00000000e-01  6.12323400e-17  3.74888889e-01
-4.00000000e-01  4.89858720e-17  3.84000000e-01
-3.00000000e-01  3.67394040e-17  3.90888889e-01
-2.00000000e-01  2.44929360e-17  3.96000000e-01
-1.00000000e-01  1.22464680e-17  3.98888889e-01
-9.95184727e-01 -9.80171403e-02  2.99859499e-01
-9.80785280e-01 -1.95090322e-01  2.99878502e-01
-9.56940336e-01 -2.90284677e-01  2.99796677e-01
-9.23879533e-01 -3.82683432e-01  2.99860455e-01
-8.81921264e-01 -4.71396737e-01  2.99892276e-01
-8.31469612e-01 -5.55570233e-01  2.99790438e-01
-7.73010453e-01 -6.34393284e-01  2.99781914e-01
-7.07106781e-01 -7.07106781e-01  2.99787879e-01
-6.34393284e-01 -7.73010453e-01  2.99781914e-01
-5.55570233e-01 -8.31469612e-01  2.99790438e-01
-4.71396737e-01 -8.81921264e-01  2.99892276e-01
-3.82683432e-01 -9.23879533e-01  2.99860455e-01
-2.90284677e-01 -9.56940336e-01  2.99796677e-01
-1.95090322e-01 -9.80785280e-01  2.99878502e-01
-9.80171403e-02 -9.95184727e-01  2.99859499e-01
-1.65327318e-16 -9.00000000e-01  3.18888889e-01
-1.46957616e-16 -8.00000000e-01  3.36000000e-01
-1.28587914e-16 -7.00000000e-01  3.50888889e-01
-1.10218212e-16 -6.00000000e-01  3.64000000e-01
-9.18485099e-17 -5.00000000e-01  3.74888889e-01
-7.34788079e-17 -4.00000000e-01  3.84000000e-01
-5.51091060e-17 -3.00000000e-01  3.90888889e-01
-3.67394040e-17 -2.00000000e-01  3.96000000e-01
-1.83697020e-17 -1.00000000e-01  3.98888889e-01
-6.76779568e-01  6.09668075e-01  3.16915128e-01
-7.97729907e-02  4.54189028e-01  3.78597047e-01
-4.50000000e-01  8.66025404e-02  3.78823505e-01
-4.68851449e-01  7.83371309e-01  3.16553478e-01
-8.33319164e-01  4.02068313e-01  3.14267553e-01
-7.61643228e-02  6.51027760e-01  3.56902087e-01
-2.50610615e-01  8.65957526e-02  3.92795145e-01
-6.50224698e-01  8.64652965e-02  3.56797788e-01
-3.18064732e-01  8.58645686e-01  3.16030726e-01
-8.86422078e-01  2.22037172e-01  3.16304514e-01
-8.99274471e-02  2.41211139e-01  3.93167154e-01
-8.66025404e-02  8.50000000e-01  3.26823506e-01
-8.50050077e-01  7.67740955e-02  3.27011727e-01
-7.50082207e-01  8.47802620e-02  3.42847345e-01
-7.00269650e-01  1.72433116e-01  3.47770034e-01
-6.00694952e-01  1.72839584e-01  3.60817320e-01
-6.50693762e-01  2.58790097e-01  3.50835252e-01
-5.51410680e-01  2.59178274e-01  3.62745137e-01
-6.01299705e-01  3.44912789e-01  3.51875100e-01
-5.02135053e-01  3.45323323e-01  3.62685007e-01
-5.51961379e-01  4.30972202e-01  3.50760120e-01
-4.52839184e-01  4.31392026e-01  3.60699962e-01
-4.02946484e-01  3.45626797e-01  3.71732007e-01
-3.53684331e-01  4.31752490e-01  3.68644600e-01
-4.03584734e-01  5.17479972e-01  3.56830215e-01
-3.04438057e-01  5.17867614e-01  3.63724733e-01
-3.03644024e-01  3.45948861e-01  3.78633998e-01
-3.54371741e-01  6.03545452e-01  3.50896983e-01
-4.56633558e-01  6.05550040e-01  3.42388754e-01
-3.53034837e-01  2.59703613e-01  3.80657944e-01
-6.50003184e-01  4.31135176e-01  3.38967882e-01
-2.56464090e-01  6.03222549e-01  3.56956820e-01
-3.07875317e-01  6.90729399e-01  3.42603144e-01
-2.55511303e-01  2.61316275e-01  3.86548047e-01
-2.06383616e-01  3.47251448e-01  3.83570325e-01
-7.41742004e-01  2.55839726e-01  3.38327039e-01
-2.14086701e-01  5.13042152e-01  3.68927295e-01
-2.12497765e-01  6.91948185e-01  3.47432915e-01
-6.04420818e-01  5.17869748e-01  3.36541945e-01
-7.04671367e-01  5.09018406e-01  3.24221946e-01
-5.64182066e-01  6.08052410e-01  3.31039395e-01
-3.01994796e-01  1.73438826e-01  3.87654574e-01
-5.01136511e-01  1.73054246e-01  3.71673430e-01
-2.62049057e-01  7.76956724e-01  3.32637681e-01
-1.62464573e-01  7.72761107e-01  3.37427812e-01
-2.06749717e-01  8.61620335e-01  3.21414959e-01
-6.94048286e-01  3.42629835e-01  3.39929274e-01
-8.07134947e-01  1.72150833e-01  3.31739148e-01
-4.04198755e-01  6.89163788e-01  3.36042068e-01
-5.12179662e-01  6.87250895e-01  3.26344687e-01
-3.60590356e-01  7.74981272e-01  3.26726247e-01
-5.05603623e-01  5.18552733e-01  3.47362143e-01
-7.60337262e-02  5.50886396e-01  3.68934424e-01
-1.02022513e-01  3.48087276e-01  3.86655372e-01
-5.50227010e-01  8.64714763e-02  3.68800398e-01
-1.50460825e-01  8.46753078e-02  3.96846689e-01
-1.85930359e-01  1.81606412e-01  3.93082108e-01
-4.52145044e-01  2.59411645e-01  3.72708219e-01
-2.57370441e-01  4.30715666e-01  3.74660689e-01
-3.50705679e-01  8.64828518e-02  3.86774148e-01
-4.01703921e-01  1.73249334e-01  3.80744016e-01
-8.32539520e-02  1.46782990e-01  3.96997710e-01
-7.43926209e-01  4.16406289e-01  3.27176103e-01
-1.59609318e-01  6.01662663e-01  3.61135753e-01
-8.66582481e-01  3.13951041e-01  3.14954747e-01
-7.26359339e-02  7.50000000e-01  3.43102838e-01
-6.08494623e-01  6.89201316e-01  3.15324720e-01
-1.36340152e-01  9.19130647e-01  3.13567369e-01
-9.19130647e-01  1.36340152e-01  3.13567367e-01
-1.67418771e-01  4.28617493e-01  3.78605858e-01
-1.68321093e-01  2.73954299e-01  3.89507595e-01
-5.55897850e-01  7.52860717e-01  3.12226268e-01
-7.92226834e-01  4.86111782e-01  3.13469597e-01
-7.83640487e-01  3.31054026e-01  3.27534106e-01
-7.32050808e-02  7.32050808e-02  3.98849575e-01
-4.01387783e-01  8.47724342e-01  3.11925670e-01
-7.58053390e-01  5.62210711e-01  3.10714600e-01
-1.36674382e-01  6.93479943e-01  3.49912552e-01
-8.22224777e-01  2.55428952e-01  3.25709186e-01
-6.44712278e-02  9.32316669e-01  3.12642082e-01
-9.30950655e-01  6.51693810e-02  3.12883308e-01
-1.36705466e-01  5.00088218e-01  3.72989885e-01
-6.11629292e-01 -6.76856554e-01  3.16655927e-01
-4.56899552e-01 -9.09820926e-02  3.78137952e-01
-8.64959520e-02 -4.50739388e-01  3.78761556e-01
-7.83323527e-01 -4.68757759e-01  3.16570172e-01
-4.02075092e-01 -8.33173650e-01  3.14291217e-01
-6.50942822e-01 -7.58774464e-02  3.56918582e-01
-8.64641296e-02 -2.50616293e-01  3.92797512e-01
-8.64460700e-02 -6.50111409e-01  3.56812522e-01
-8.58377014e-01 -3.17620353e-01  3.16102165e-01
-2.22037172e-01 -8.86422078e-01  3.16304513e-01
-2.41075563e-01 -8.99177457e-02  3.93173674e-01
-8.50000000e-01 -8.66025404e-02  3.26823504e-01
-7.67890400e-02 -8.49968900e-01  3.27024958e-01
-8.47904292e-02 -7.49991066e-01  3.42861117e-01
-1.72422492e-01 -7.00064481e-01  3.47799111e-01
-1.72727115e-01 -6.00507820e-01  3.60844772e-01
-2.58728906e-01 -6.50349912e-01  3.50881662e-01
-2.58956593e-01 -5.51066275e-01  3.62794514e-01
-3.44771804e-01 -6.00808869e-01  3.51947611e-01
-3.45014486e-01 -5.01639961e-01  3.62757163e-01
-4.30749320e-01 -5.51321008e-01  3.50852011e-01
-4.31000107e-01 -4.52196359e-01  3.60789639e-01
-3.45148260e-01 -4.02449335e-01  3.71810185e-01
-4.31191117e-01 -3.53038977e-01  3.68740578e-01
-5.17005578e-01 -4.02793949e-01  3.56946189e-01
-5.17223746e-01 -3.03644289e-01  3.63836745e-01
-3.45300384e-01 -3.03144554e-01  3.78711521e-01
-6.02989046e-01 -3.53432836e-01  3.51036312e-01
-6.05236649e-01 -4.55825801e-01  3.42498454e-01
-2.59189985e-01 -3.52617221e-01  3.80712538e-01
-4.31050406e-01 -6.49413675e-01  3.39049899e-01
-6.02644823e-01 -2.55591029e-01  3.57070741e-01
-6.90197722e-01 -3.07000053e-01  3.42730093e-01
-2.60757026e-01 -2.55224664e-01  3.86587521e-01
-3.46630001e-01 -2.06056622e-01  3.83631157e-01
-2.55864204e-01 -7.41454041e-01  3.38370050e-01
-5.11748614e-01 -1.88860059e-01  3.70085359e-01
-6.91410688e-01 -2.11642120e-01  3.47548093e-01
-5.17425760e-01 -6.02966698e-01  3.36770531e-01
-5.11143061e-01 -7.02877880e-01  3.24260568e-01
-6.08192093e-01 -5.63656001e-01  3.31081321e-01
-7.76442722e-01 -2.61243977e-01  3.32754063e-01
-7.72369174e-01 -1.61758416e-01  3.37511446e-01
-8.64106005e-01 -2.05788252e-01  3.21045547e-01
-1.72886022e-01 -3.02853918e-01  3.87621453e-01
-1.72162465e-01 -8.07008591e-01  3.31759819e-01
-1.72858714e-01 -5.01113158e-01  3.71682282e-01
-3.42608185e-01 -6.93642964e-01  3.39987606e-01
-6.88694945e-01 -4.03115405e-01  3.36201595e-01
-6.87071736e-01 -5.11714589e-01  3.26416275e-01
-7.74670300e-01 -3.60037315e-01  3.26814484e-01
-5.18268251e-01 -5.04793303e-01  3.47471622e-01
-5.53266246e-01 -8.64582056e-02  3.68456217e-01
-3.48123681e-01 -1.03494888e-01  3.86623254e-01
-8.46673268e-02 -1.50461170e-01  3.96846837e-01
-1.81305019e-01 -1.85997853e-01  3.93089904e-01
-8.64206687e-02 -5.50315011e-01  3.68791441e-01
-2.59077542e-01 -4.51834317e-01  3.72750740e-01
-4.31474495e-01 -2.53867462e-01  3.74758395e-01
-1.72921057e-01 -4.01796395e-01  3.80746943e-01
-8.61153504e-02 -3.50843838e-01  3.86771367e-01
-1.46708832e-01 -8.32636415e-02  3.96999988e-01
-4.16760978e-01 -7.43350727e-01  3.27233603e-01
-3.13978129e-01 -8.66464375e-01  3.14972805e-01
-6.19258640e-01 -1.58717138e-01  3.58936667e-01
-6.89451761e-01 -6.08290463e-01  3.15315517e-01
-7.50000000e-01 -7.18230740e-02  3.43119094e-01
-9.24205333e-01 -1.30133527e-01  3.12818147e-01
-1.36340152e-01 -9.19130647e-01  3.13567367e-01
-4.18975269e-01 -1.68652225e-01  3.79400402e-01
-2.75578258e-01 -1.68138355e-01  3.89416248e-01
-7.52865418e-01 -5.55745266e-01  3.12242839e-01
-4.86492410e-01 -7.91762281e-01  3.13502764e-01
-3.31112713e-01 -7.83352194e-01  3.27574789e-01
-7.32050808e-02 -7.32050808e-02  3.98849574e-01
-8.47643247e-01 -4.01268371e-01  3.11949533e-01
-5.62008360e-01 -7.57780552e-01  3.10779368e-01
-2.55389692e-01 -8.22027404e-01  3.25743913e-01
-7.02352647e-01 -1.34635512e-01  3.48738334e-01
-9.33878012e-01 -6.29506416e-02  3.12363913e-01
-6.51693810e-02 -9.30950655e-01  3.12883308e-01
